"ABBA","Abies balsamea"
"ABBAB","Abies balsamea var. balsamea"
"ABBAP","Abies balsamea var. phanerolepis"
"ABBR","Abies bracteata"
"ABCO","Abies concolor"
"ABFR","Abies fraseri"
"ABGR","Abies grandis"
"ABLA","Abies lasiocarpa"
"ABLAA","Abies lasiocarpa var. arizonica"
"ABLAL","Abies lasiocarpa var. lasiocarpa"
"ABLO","Abies lowiana"
"ABMA","Abies magnifica"
"ABMAM","Abies magnifica var. magnifica"
"ABMAS","Abies magnifica var. shastensis"
"ABPR","Abies procera"
"ABOV","Abildgaardia ovata"
"ABAL","Abronia alpina"
"ABAM2","Abronia ameliae"
"ABAM3","Abronia ammophila"
"ABAN","Abronia angustifolia"
"ABAR","Abronia argillosa"
"ABBI","Abronia bigelovii"
"ABBO","Abronia bolackii"
"ABCA","Abronia carletonii"
"ABEL","Abronia elliptica"
"ABFR2","Abronia fragrans"
"ABGR2","Abronia gracilis"
"ABIN2","Abronia insularis"
"ABLA2","Abronia latifolia"
"ABMA5","Abronia macrocarpa"
"ABMA2","Abronia maritima"
"ABME","Abronia mellifera"
"ABMI2","Abronia minor"
"ABNA","Abronia nana"
"ABNAC","Abronia nana var. covillei"
"ABNAH","Abronia nana var. harrisii"
"ABNAN","Abronia nana var. nana"
"ABNE","Abronia neurophylla"
"ABPO","Abronia pogonantha"
"ABTU","Abronia turbinata"
"ABUM","Abronia umbellata"
"ABUMB","Abronia umbellata ssp. breviflora"
"ABUMU","Abronia umbellata ssp. umbellata"
"ABVI","Abronia villosa"
"ABVIA","Abronia villosa var. aurita"
"ABVIV","Abronia villosa var. villosa"
"ABAB","Abutilon abutiloides"
"ABBE","Abutilon berlandieri"
"ABFR3","Abutilon fruticosum"
"ABHU","Abutilon hulseanum"
"ABHY","Abutilon hypoleucum"
"ABIN","Abutilon incanum"
"ABMA3","Abutilon malacum"
"ABMO2","Abutilon mollicomum"
"ABPA","Abutilon palmeri"
"ABPA2","Abutilon parishii"
"ABPA3","Abutilon parvulum"
"ABPE","Abutilon permolle"
"ABRE","Abutilon reventum"
"ABTH2","Abutilon thurberi"
"ABTR","Abutilon trisulcatum"
"ABWR","Abutilon wrightii"
"ACAN","Acacia angustissima"
"ACANC","Acacia angustissima var. chisosiana"
"ACANH","Acacia angustissima var. hirta"
"ACANS","Acacia angustissima var. shrevei"
"ACANS2","Acacia angustissima var. suffrutescens"
"ACANT4","Acacia angustissima var. texensis"
"ACBE","Acacia berlandieri"
"ACCH","Acacia choriophylla"
"ACCO2","Acacia constricta"
"ACCOC","Acacia constricta var. constricta"
"ACCOP9","Acacia constricta var. paucispina"
"ACFA","Acacia farnesiana"
"ACGR","Acacia greggii"
"ACGRG3","Acacia greggii var. greggii"
"ACGRW","Acacia greggii var. wrightii"
